MLKNN/MacroF1,Original,LP-ROS,ML-ROS,REMEDIAL,MLSMOTE,MLSOL,MLCSMOTE,,MLKNN/MicroF1,Original,LP-ROS,ML-ROS,REMEDIAL,MLSMOTE,MLSOL,MLCSMOTE,,MLKNN/AUC-ROC,Original,LP-ROS,ML-ROS,REMEDIAL,MLSMOTE,MLSOL,MLCSMOTE
emotions,0.0000 ,0.0263 ,0.0133 ,0.0000 ,0.0072,0.0168 ,0.0193 ,,emotions,0.0000 ,0.0188 ,0.0107 ,0.0000 ,0.0033 ,0.0071 ,0.0207 ,,emotions,0.0000 ,0.0008 ,0.0089 ,0.0000 ,0.0055 ,0.0129 ,0.0097 
birds,0.0000 ,0.0091 ,0.0094 ,0.0000 ,0.0081 ,0.0094 ,0.0135 ,,birds,0.0000 ,0.0247 ,0.0237 ,0.0000 ,0.0227 ,0.0185 ,0.0258 ,,birds,0.0000 ,0.0044 ,0.0065 ,0.0000 ,0.0011 ,0.0124 ,0.0125 
enron,0.0000 ,0.0000 ,0.0110 ,0.0000 ,0.0025 ,0.0098 ,0.0095 ,,enron,0.0000 ,0.0000 ,0.0069 ,0.0000 ,0.0018 ,0.0097 ,0.0140 ,,enron,0.0000 ,0.0000 ,0.0014 ,0.0000 ,0.0013 ,0.0037 ,0.0030 
yeast,0.0000 ,0.0053 ,0.0087 ,0.0000 ,0.0113 ,0.0052 ,0.0056 ,,yeast,0.0000 ,0.0059 ,0.0033 ,0.0000 ,0.0123 ,0.0060 ,0.0061 ,,yeast,0.0000 ,0.0016 ,0.0027 ,0.0000 ,0.0033 ,0.0103 ,0.0045 
scene,0.0000 ,0.0031 ,0.0032 ,0.0000 ,0.0087 ,0.0118 ,0.0068 ,,scene,0.0000 ,0.0041 ,0.0036 ,0.0000 ,0.0075 ,0.0099 ,0.0062 ,,scene,0.0000 ,0.0018 ,0.0011 ,0.0000 ,0.0028 ,0.0012 ,0.0025 
medical,0.0000 ,0.0076 ,0.0032 ,0.0000 ,0.0042 ,0.0105 ,0.0125 ,,medical,0.0000 ,0.0231 ,0.0123 ,0.0000 ,0.0189 ,0.0255 ,0.0152 ,,medical,0.0000 ,0.0044 ,0.0007 ,0.0000 ,0.0030 ,0.0069 ,0.0050 
bibtex,0.0000 ,0.0000 ,0.0046 ,0.0000 ,0.0018 ,0.0070 ,0.0049 ,,bibtex,0.0000 ,0.0000 ,0.0020 ,0.0000 ,0.0018 ,0.0093 ,0.0094 ,,bibtex,0.0000 ,0.0000 ,0.0019 ,0.0000 ,0.0011 ,0.0042 ,0.0030 
tmc2007_500,0.0000 ,0.0032 ,0.0035 ,0.0000 ,0.0034 ,0.0063 ,0.0075 ,,tmc2007_500,0.0000 ,0.0016 ,0.0015 ,0.0000 ,0.0018 ,0.0032 ,0.0024 ,,tmc2007_500,0.0000 ,0.0005 ,0.0015 ,0.0000 ,0.0007 ,0.0013 ,0.0021 
mediamill,0.0000 ,0.0015 ,0.0019 ,0.0000 ,0.0012 ,0.0022 ,0.0023 ,,mediamill,0.0000 ,0.0044 ,0.0004 ,0.0000 ,0.0002 ,0.0022 ,0.0030 ,,mediamill,0.0000 ,0.0003 ,0.0002 ,0.0000 ,0.0003 ,0.0008 ,0.0008 
corel5k,0.0000 ,0.0000 ,0.0009 ,0.0000 ,0.0005 ,0.0016 ,0.0027 ,,corel5k,0.0000 ,0.0000 ,0.0029 ,0.0000 ,0.0025 ,0.0085 ,0.0131 ,,corel5k,0.0000 ,0.0000 ,0.0007 ,0.0000 ,0.0011 ,0.0035 ,0.0035 
rcv1subset1,0.0000 ,0.0020 ,0.0013 ,0.0000 ,0.0012 ,0.0019 ,0.0028 ,,rcv1subset1,0.0000 ,0.0012 ,0.0006 ,0.0009 ,0.0018 ,0.0049 ,0.0026 ,,rcv1subset1,0.0000 ,0.0012 ,0.0015 ,0.0000 ,0.0015 ,0.0060 ,0.0038 
rcv1subset2,0.0000 ,0.0004 ,0.0004 ,0.0000 ,0.0004 ,0.0003,0.0003 ,,rcv1subset2,0.0000 ,0.0007 ,0.0026 ,0.0000 ,0.0008 ,0.0011 ,0.0010 ,,rcv1subset2,0.0000 ,0.0005 ,0.0007 ,0.0000 ,0.0013 ,0.0075 ,0.0023 
,,,,,,,,,,,,,,,,,,,,,,,,,
BR/MacroF1,,,,,,,,,BR/MicroF1,,,,,,,,,BR/AUC-ROC,,,,,,,
emotions,0.0031 ,0.0034 ,0.0084 ,0.0066 ,0.0115 ,0.0072 ,0.0069 ,,emotions,0.0046,0.0028,0.0077,0.0071,0.0093,0.0028,0.0038,,emotions,0.0012,0.0024,0.0025,0.0014 ,0.0037,0.0058,0.0029
birds,0.0064 ,0.0133 ,0.0180 ,0.0131 ,0.0064 ,0.0100 ,0.0256 ,,birds,0.0081,0.0116,0.0168,0.018,0.0070 ,0.0059 ,0.0106 ,,birds,0.0062 ,0.0047,0.0123,0.0042 ,0.0035 ,0.0114 ,0.0029 
